coord_lat,coord_lon,temp,feels_like,temp_min,temp_max,humidity,wind_speed,wind_deg,clouds_all,rain_1h
36,140,288.4,287.05,278.29,289.23,41,1.59,127,71,
36,140,284.6,283.18,277.29,284.79,53,0.76,26,59,
36,140,286.25,284.71,284.79,289.22,42,1.39,271,0,
36,140,292.34,291.12,289.11,293.29,31,0.51,122,0,
36,140,286.98,285.41,284.34,288.68,38,1.62,6,53,
36,140,284.6,283.11,276.29,284.79,50,1.74,333,83,
36,140,287.91,286.41,286.45,290.51,37,1.73,334,0,
36,140,293.64,292.55,291.11,294.4,31,0.19,144,0,
36,140,287.89,287.12,280.29,290.9,65,1.73,7,100,
36,140,286.1,285.41,282.29,287.56,75,3.11,354,100,
36,140,287.58,287.09,286.34,288.29,77,4.15,49,100,
36,140,287.88,287.42,287.25,288.81,77,5.66,40,75,
36,140,286.86,286.35,285.89,288.12,79,3.8,73,100,0.15
36,140,283.42,282.9,282.29,284.4,92,1.74,61,100,1.54
36,140,284.21,283.98,283.28,285.51,100,1.54,350,75,
36,140,287.9,287.26,286.55,288.72,70,3.11,3,100,
36,140,286.22,285.46,283.29,286.58,72,2.97,41,100,0.32
36,140,283.64,282.34,281.34,285.9,61,2.65,90,94,
36,140,285.72,284.21,283.29,285.94,45,0.68,110,0,
36,140,289.25,287.46,287.29,290.33,21,1.63,313,0,
36,140,284.39,282.61,277.29,286.45,40,1.16,331,50,
36,140,282.28,282.28,275.29,284.23,44,0.55,275,85,
36,140,283.94,282.22,282.34,286.44,44,2.18,358,100,
36,140,288.56,287.23,286.29,289.22,41,1.68,56,20,
36,140,284.49,283.38,283.25,284.92,65,1.87,4,100,
36,140,283.23,282.02,282.29,284.4,66,1.92,333,100,
36,140,284.42,283.06,282.29,285.34,56,0.67,331,100,
36,140,285.02,283.83,284.11,286.07,60,1.9,226,96,
36,140,286.65,285.96,282.29,292.34,73,2.57,243,100,
36,140,292.65,292.88,290.51,294.34,85,1.74,356,100,0.64
36,140,289.56,289.29,287.56,292.18,78,1.67,78,100,
36,140,295.04,294.98,293.69,297.34,65,1.41,133,62,
36,140,292.75,292.25,291.03,293.68,57,6,204,100,
36,140,289.23,287.96,288.67,291.34,41,3.74,318,50,
36,140,286.07,283.94,284.29,287,20,9.69,315,41,
36,140,285.65,283.5,284.29,285.91,21,7.87,339,39,
36,140,280.43,276.76,278.34,281.03,28,6.51,335,4,
36,140,280.03,277.03,277.34,281.45,31,4.58,336,4,
36,140,282.45,279.78,280.12,284.24,24,5.23,314,1,
36,140,285.51,283.43,283.29,286.07,24,4.42,307,32,
36,140,280.06,278.2,274.29,282.01,36,2.65,59,80,
36,140,278.64,277.14,275.29,279.79,37,1.95,356,100,
36,140,280.51,279.19,279.11,281.07,33,2.08,32,100,
36,140,284.01,282.51,282.29,284.36,52,2.29,102,100,
36,140,280.96,280.96,278.29,281.58,69,0.85,11,100,0.24
36,140,280.1,279.52,278.29,281.45,58,1.34,314,100,
36,140,283.31,281.24,280.34,285.89,33,2.03,288,100,
36,140,286.63,284.82,284.11,287.18,30,1.24,191,26,
36,140,283.33,281.4,280.34,285.34,38,1.28,91,0,
36,140,280.5,279.3,275.34,282.01,48,1.95,296,0,
36,140,283.75,281.75,283.12,285.35,34,0.5,232,0,
36,140,284.29,281.96,283.34,285.29,19,6.62,287,5,
36,140,280.01,275.57,277.11,282.01,18,8.6,310,7,
36,140,277.67,274.5,272.34,279.23,27,3.87,314,3,
36,140,280.99,280.23,279.11,282.18,31,1.59,146,0,
36,140,283.85,281.58,282.29,284.4,23,2.61,198,2,
36,140,279.04,275.59,276.29,280.34,35,5.02,336,0,
36,140,276.93,275.34,274.34,278.68,38,1.79,350,0,
36,140,279.7,277.26,278.34,281.49,32,3.39,298,1,
36,140,283.9,281.55,282.11,284.4,20,1.67,205,4,
36,140,280.55,279.09,272.29,282.56,30,2.25,325,99,
36,140,277.72,277.72,268.29,279.23,42,1.1,26,93,
36,140,278.67,277.53,277.29,279.4,39,1.63,353,100,
36,140,284.06,282.07,281.29,284.92,33,0.69,171,91,
36,140,280.58,278.8,272.29,280.9,39,2.67,337,7,
36,140,277.93,276.86,270.29,278.12,48,1.49,313,4,
36,140,281.9,281.26,279.89,283.13,46,1.61,333,0,
36,140,286.09,284.25,284.83,286.49,31,0.58,31,0,
36,140,279.32,277.49,276.29,279.36,62,2.43,342,3,
36,140,277.22,275.34,272.29,277.57,62,2.09,340,0,
36,140,282.19,281.22,280.34,284.27,43,2.01,284,0,
36,140,287.24,285.7,285.11,288.29,38,3.24,207,2,
36,140,283.97,282.75,275.29,284.79,63,1.84,347,0,
36,140,279.51,278.15,276.34,281.45,45,1.95,328,22,
36,140,283.47,281.73,282.66,284.8,45,1.25,129,100,
36,140,286.13,284.29,284.34,286.46,31,1.22,338,85,
36,140,281.57,280.32,276.29,283.12,39,2.22,61,100,
36,140,280.3,278.84,277.18,281.45,42,2.2,2,97,
36,140,280.51,279.52,278.22,282.57,49,1.74,10,100,
36,140,284.2,282.67,282.29,284.22,50,1.77,85,92,
36,140,279.16,279.16,274.29,281.49,58,1.15,3,1,
36,140,279.11,277.6,275.34,279.23,55,2.04,318,1,
36,140,283.57,281.66,280.44,284.36,38,2.65,331,0,
36,140,288.29,286.59,288.16,288.29,28,0.88,131,0,
36,140,283.38,281.53,276.34,285.34,41,1.45,272,3,
36,140,279.85,278.28,277.34,280.9,60,2.24,337,3,
36,140,282.85,281.95,282.01,284.4,45,2.05,333,5,
36,140,288.15,286.75,286.11,289.33,40,0.69,152,4,
36,140,281.62,281.62,279.29,283.16,53,0.59,241,14,
36,140,281.69,280.77,277.29,282.56,60,1.86,287,85,
36,140,282.19,282.19,280.34,282.69,80,1.11,330,100,
36,140,287.01,285.73,285.11,287.69,49,0.56,38,68,
36,140,283.37,282.38,282.29,284.34,74,4.23,342,95,
36,140,283.7,282.3,279.29,285.34,57,3.7,311,94,
36,140,284.3,282.38,283.11,285.35,35,4.9,354,6,
36,140,286.24,284.23,284.29,287.02,24,1.16,309,3,
36,140,281.15,279.34,277.34,283.68,46,2.87,65,5,
36,140,279.04,277.79,272.29,279.23,49,1.77,344,23,
36,140,281.16,279.88,280.29,282.55,44,2.17,304,46,
36,140,282.03,282.03,281,283.25,64,0.46,154,86,
36,140,280.67,279.39,277.29,282.56,59,2.07,327,1,
36,140,278.57,277.52,274.34,279.79,62,1.54,328,3,
36,140,281.21,280.11,279.89,282.18,48,1.97,329,100,
36,140,285.01,283.58,283.72,286.07,51,1.31,111,100,
36,140,281.97,281.59,280.29,283.16,59,1.38,267,98,0.17
36,140,281.74,281.38,279.33,283.12,66,1.34,260,98,
36,140,283.92,282.25,281.29,285.47,46,4.41,339,100,
36,140,287.93,286.19,286.29,288.29,28,5.85,360,75,
36,140,281.95,281.49,279.22,284.23,43,1.45,61,0,
36,140,280.62,280.62,270.29,280.9,49,0.81,131,1,
36,140,280.72,280.72,279.79,283.29,44,0.6,321,9,
36,140,285.51,283.82,284.11,288.34,39,2.07,239,2,
36,140,282.3,281.51,280.47,284.23,48,1.82,340,0,
36,140,281.77,280.92,271.29,282.01,50,1.8,336,0,
36,140,283.2,281.15,280.9,285.91,34,1.7,290,0,
36,140,289.11,287.47,288.11,290.34,27,1.34,161,0,
36,140,284.43,282.58,282,287.01,37,1.68,350,55,
36,140,282.88,282.52,275.29,283.68,50,1.47,272,5,
36,140,283.42,281.36,281.07,284.8,33,4.87,22,0,
36,140,283.89,281.86,282.29,284.4,32,1.48,141,52,
36,140,281.39,278.59,278.74,283.68,39,4.88,287,0,
36,140,278.87,275.34,272.29,279.79,42,5.11,325,1,
36,140,280,276.37,278.29,280.51,29,6.07,309,0,
36,140,283.8,281.44,281.29,284.92,20,4.83,316,2,
36,140,278.05,278.05,272.29,280.9,32,0.92,58,6,
36,140,276.65,274.62,270.29,278.12,36,2.14,349,56,
36,140,278.56,277.01,278.11,280.35,34,1.99,296,6,
36,140,283.33,281.21,282.11,284.83,31,2.03,225,2,
36,140,280.12,279.54,273.34,282.01,35,1.34,336,0,
36,140,279.19,278.06,269.29,279.79,29,1.69,303,5,
36,140,280.46,278.79,278.74,283.29,38,2.5,338,4,
